market_slug,outcome,total_snapshots,B5%_S5%_P0%,B5%_S5%_P5%,B5%_S5%_P10%,B5%_S5%_P20%,B5%_S5%_P50%,B5%_S5%_P75%,B5%_S5%_P100%,B5%_S10%_P0%,B5%_S10%_P5%,B5%_S10%_P10%,B5%_S10%_P20%,B5%_S10%_P50%,B5%_S10%_P75%,B5%_S10%_P100%,B7%_S5%_P0%,B7%_S5%_P5%,B7%_S5%_P10%,B7%_S5%_P20%,B7%_S5%_P50%,B7%_S5%_P75%,B7%_S5%_P100%,B7%_S10%_P0%,B7%_S10%_P5%,B7%_S10%_P10%,B7%_S10%_P20%,B7%_S10%_P50%,B7%_S10%_P75%,B7%_S10%_P100%,B10%_S5%_P0%,B10%_S5%_P5%,B10%_S5%_P10%,B10%_S5%_P20%,B10%_S5%_P50%,B10%_S5%_P75%,B10%_S5%_P100%,B10%_S10%_P0%,B10%_S10%_P5%,B10%_S10%_P10%,B10%_S10%_P20%,B10%_S10%_P50%,B10%_S10%_P75%,B10%_S10%_P100%,B5%_S5%_P150>75%,B5%_S10%_P150>75%,B7%_S5%_P150>75%,B7%_S10%_P150>75%,B10%_S5%_P150>75%,B10%_S10%_P150>75%,B5%_S5%_P100>50%,B5%_S10%_P100>50%,B7%_S5%_P100>50%,B7%_S10%_P100>50%,B10%_S5%_P100>50%,B10%_S10%_P100>50%,B5%_S5%_P100>20%,B5%_S10%_P100>20%,B7%_S5%_P100>20%,B7%_S10%_P100>20%,B10%_S5%_P100>20%,B10%_S10%_P100>20%,B5%_S5%_P75>20%,B5%_S10%_P75>20%,B7%_S5%_P75>20%,B7%_S10%_P75>20%,B10%_S5%_P75>20%,B10%_S10%_P75>20%,B5%_S5%_P50>10%,B5%_S10%_P50>10%,B7%_S5%_P50>10%,B7%_S10%_P50>10%,B10%_S5%_P50>10%,B10%_S10%_P50>10%,B5%_HoldToEnd,B7%_HoldToEnd,B10%_HoldToEnd
btc-updown-15m-1765221300,UP,4448,-55.4% (4 trades),-61.7% (3 trades),-61.7% (3 trades),-60.9% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),109.4% (4 trades),109.4% (4 trades),128.0% (3 trades),139.1% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-55.4% (4 trades),-61.7% (3 trades),-61.7% (3 trades),-60.9% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),109.4% (4 trades),109.4% (4 trades),128.0% (3 trades),139.1% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),99.5% (4 trades),92.8% (4 trades),113.7% (3 trades),108.1% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),92.1% (3 trades),20.7% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-76.1% (2 trades),139.1% (2 trades),-76.1% (2 trades),139.1% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-76.1% (2 trades),139.1% (2 trades),-76.1% (2 trades),139.1% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-89.1% (2 trades),32.6% (2 trades),-89.1% (2 trades),32.6% (2 trades),-88.2% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765222200,UP,4475,67.9% (2 trades),67.9% (2 trades),67.9% (2 trades),67.9% (2 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),69.5% (2 trades),69.5% (2 trades),69.5% (2 trades),69.5% (2 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),81.3% (2 trades),81.3% (2 trades),81.3% (2 trades),81.3% (2 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),83.1% (2 trades),83.1% (2 trades),83.1% (2 trades),83.1% (2 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),83.1% (2 trades),83.1% (2 trades),83.1% (2 trades),83.1% (2 trades),75.4% (1 trades),75.4% (1 trades),75.4% (1 trades),84.8% (2 trades),84.8% (2 trades),84.8% (2 trades),84.8% (2 trades),75.4% (1 trades),75.4% (1 trades),75.4% (1 trades),66.7% (1 trades),66.7% (1 trades),81.8% (1 trades),81.8% (1 trades),75.4% (1 trades),75.4% (1 trades),66.7% (1 trades),66.7% (1 trades),81.8% (1 trades),81.8% (1 trades),75.4% (1 trades),75.4% (1 trades),66.7% (1 trades),66.7% (1 trades),81.8% (1 trades),81.8% (1 trades),75.4% (1 trades),75.4% (1 trades),66.7% (1 trades),66.7% (1 trades),81.8% (1 trades),81.8% (1 trades),75.4% (1 trades),75.4% (1 trades),66.7% (1 trades),66.7% (1 trades),81.8% (1 trades),81.8% (1 trades),75.4% (1 trades),75.4% (1 trades),66.7% (1 trades),81.8% (1 trades),75.4% (1 trades)
btc-updown-15m-1765223100,DOWN,4475,119.2% (4 trades),119.2% (4 trades),119.2% (4 trades),93.1% (2 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),75.8% (2 trades),75.8% (2 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),86.2% (4 trades),92.0% (4 trades),131.3% (3 trades),92.0% (2 trades),107.5% (1 trades),107.5% (1 trades),107.5% (1 trades),84.5% (2 trades),84.5% (2 trades),84.5% (2 trades),118.6% (2 trades),65.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),49.7% (2 trades),49.7% (2 trades),49.7% (2 trades),52.2% (2 trades),107.5% (1 trades),107.5% (1 trades),107.5% (1 trades),18.1% (2 trades),-85.0% (2 trades),-85.0% (2 trades),-77.5% (2 trades),65.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),81.8% (1 trades),81.8% (1 trades),107.5% (1 trades),-100.0% (1 trades),107.5% (1 trades),-100.0% (1 trades),81.8% (1 trades),81.8% (1 trades),107.5% (1 trades),65.0% (1 trades),107.5% (1 trades),65.0% (1 trades),81.8% (1 trades),81.8% (1 trades),107.5% (1 trades),65.0% (1 trades),107.5% (1 trades),65.0% (1 trades),81.8% (1 trades),81.8% (1 trades),107.5% (1 trades),65.0% (1 trades),107.5% (1 trades),65.0% (1 trades),81.8% (1 trades),81.8% (1 trades),107.5% (1 trades),65.0% (1 trades),107.5% (1 trades),65.0% (1 trades),81.8% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765224000,UP,4473,54.1% (3 trades),54.1% (3 trades),-54.2% (3 trades),-54.2% (3 trades),50.0% (1 trades),61.3% (1 trades),61.3% (1 trades),72.3% (2 trades),72.3% (2 trades),72.3% (2 trades),72.3% (2 trades),61.3% (1 trades),61.3% (1 trades),61.3% (1 trades),19.7% (1 trades),19.7% (1 trades),19.7% (1 trades),21.1% (1 trades),40.8% (1 trades),40.8% (1 trades),40.8% (1 trades),40.8% (1 trades),40.8% (1 trades),40.8% (1 trades),40.8% (1 trades),40.8% (1 trades),40.8% (1 trades),40.8% (1 trades),no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,61.3% (1 trades),61.3% (1 trades),40.8% (1 trades),40.8% (1 trades),no trade,no trade,50.0% (1 trades),61.3% (1 trades),40.8% (1 trades),40.8% (1 trades),no trade,no trade,-62.9% (2 trades),61.3% (1 trades),21.1% (1 trades),40.8% (1 trades),no trade,no trade,-62.9% (2 trades),61.3% (1 trades),21.1% (1 trades),40.8% (1 trades),no trade,no trade,-62.9% (2 trades),61.3% (1 trades),19.7% (1 trades),40.8% (1 trades),no trade,no trade,61.3% (1 trades),40.8% (1 trades),no trade
btc-updown-15m-1765224900,UP,4448,187.8% (5 trades),187.8% (5 trades),187.8% (5 trades),194.4% (3 trades),102.2% (2 trades),200.0% (2 trades),200.0% (2 trades),-78.9% (3 trades),-78.9% (3 trades),-78.9% (3 trades),112.8% (1 trades),112.8% (1 trades),112.8% (1 trades),112.8% (1 trades),171.6% (4 trades),171.6% (4 trades),171.6% (4 trades),196.0% (3 trades),103.9% (2 trades),200.0% (2 trades),200.0% (2 trades),80.1% (2 trades),80.1% (2 trades),80.1% (2 trades),112.8% (1 trades),112.8% (1 trades),112.8% (1 trades),112.8% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),200.0% (2 trades),112.8% (1 trades),200.0% (2 trades),112.8% (1 trades),-100.0% (1 trades),-100.0% (1 trades),102.2% (2 trades),112.8% (1 trades),103.9% (2 trades),112.8% (1 trades),-100.0% (1 trades),-100.0% (1 trades),194.4% (3 trades),112.8% (1 trades),196.0% (3 trades),112.8% (1 trades),-100.0% (1 trades),-100.0% (1 trades),194.4% (3 trades),112.8% (1 trades),196.0% (3 trades),112.8% (1 trades),-100.0% (1 trades),-100.0% (1 trades),194.4% (3 trades),112.8% (1 trades),196.0% (3 trades),112.8% (1 trades),-100.0% (1 trades),-100.0% (1 trades),112.8% (1 trades),112.8% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765225800,UP,4472,-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),66.7% (1 trades),66.7% (1 trades),58.7% (1 trades),58.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),66.7% (1 trades),66.7% (1 trades),58.7% (1 trades),58.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),66.7% (1 trades),66.7% (1 trades),58.7% (1 trades),58.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),66.7% (1 trades),66.7% (1 trades),58.7% (1 trades),58.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),66.7% (1 trades),66.7% (1 trades),58.7% (1 trades),58.7% (1 trades),-100.0% (1 trades),66.7% (1 trades),58.7% (1 trades)
btc-updown-15m-1765226700,UP,4464,139.3% (4 trades),145.6% (4 trades),150.7% (3 trades),150.7% (3 trades),102.8% (2 trades),108.3% (1 trades),108.3% (1 trades),122.0% (3 trades),129.2% (2 trades),129.2% (2 trades),129.2% (2 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),126.8% (2 trades),126.8% (2 trades),126.8% (2 trades),126.8% (2 trades),126.8% (2 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),122.2% (2 trades),122.2% (2 trades),122.2% (2 trades),122.2% (2 trades),122.2% (2 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),102.8% (2 trades),108.3% (1 trades),126.8% (2 trades),108.3% (1 trades),122.2% (2 trades),108.3% (1 trades),102.8% (2 trades),108.3% (1 trades),126.8% (2 trades),108.3% (1 trades),122.2% (2 trades),108.3% (1 trades),102.8% (2 trades),108.3% (1 trades),126.8% (2 trades),108.3% (1 trades),122.2% (2 trades),108.3% (1 trades),102.8% (2 trades),108.3% (1 trades),126.8% (2 trades),108.3% (1 trades),122.2% (2 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades),108.3% (1 trades)
btc-updown-15m-1765227600,DOWN,4445,72.4% (2 trades),72.4% (2 trades),74.1% (2 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),0.0% (1 trades),78.6% (1 trades),78.6% (1 trades),78.6% (1 trades),78.6% (1 trades),78.6% (1 trades),78.6% (1 trades),0.0% (1 trades),78.6% (1 trades),78.6% (1 trades),78.6% (1 trades),78.6% (1 trades),78.6% (1 trades),78.6% (1 trades),-55.2% (2 trades),-55.2% (2 trades),-55.2% (2 trades),-55.2% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),69.5% (1 trades),69.5% (1 trades),78.6% (1 trades),78.6% (1 trades),-100.0% (1 trades),-100.0% (1 trades),69.5% (1 trades),69.5% (1 trades),78.6% (1 trades),78.6% (1 trades),-100.0% (1 trades),-100.0% (1 trades),69.5% (1 trades),69.5% (1 trades),78.6% (1 trades),78.6% (1 trades),-55.2% (2 trades),-100.0% (1 trades),69.5% (1 trades),69.5% (1 trades),78.6% (1 trades),78.6% (1 trades),-55.2% (2 trades),-100.0% (1 trades),69.5% (1 trades),69.5% (1 trades),78.6% (1 trades),78.6% (1 trades),-55.2% (2 trades),-100.0% (1 trades),69.5% (1 trades),78.6% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765228500,UP,4476,78.7% (5 trades),112.0% (5 trades),116.2% (5 trades),145.1% (5 trades),100.8% (2 trades),-100.0% (1 trades),-100.0% (1 trades),49.3% (2 trades),57.6% (2 trades),61.8% (2 trades),74.3% (2 trades),117.1% (2 trades),-100.0% (1 trades),-100.0% (1 trades),87.7% (4 trades),112.7% (4 trades),112.7% (4 trades),112.7% (4 trades),50.8% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),37.5% (2 trades),62.5% (2 trades),62.5% (2 trades),62.5% (2 trades),118.8% (2 trades),162.5% (2 trades),-100.0% (1 trades),37.5% (2 trades),62.5% (2 trades),62.5% (2 trades),62.5% (2 trades),118.8% (2 trades),162.5% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),58.7% (1 trades),58.7% (1 trades),162.5% (2 trades),162.5% (2 trades),100.8% (2 trades),117.1% (2 trades),50.8% (1 trades),58.7% (1 trades),118.8% (2 trades),118.8% (2 trades),145.1% (5 trades),74.3% (2 trades),112.7% (4 trades),58.7% (1 trades),62.5% (2 trades),62.5% (2 trades),145.1% (5 trades),74.3% (2 trades),112.7% (4 trades),58.7% (1 trades),62.5% (2 trades),62.5% (2 trades),116.2% (5 trades),61.8% (2 trades),112.7% (4 trades),58.7% (1 trades),62.5% (2 trades),62.5% (2 trades),-100.0% (1 trades),58.7% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765229400,UP,4438,75.2% (5 trades),83.5% (5 trades),91.9% (5 trades),122.2% (5 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),103.6% (5 trades),111.9% (5 trades),120.2% (5 trades),128.6% (5 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),65.7% (4 trades),74.8% (4 trades),83.9% (4 trades),105.5% (4 trades),109.6% (2 trades),122.1% (2 trades),144.9% (2 trades),78.2% (4 trades),87.3% (4 trades),96.4% (4 trades),105.5% (4 trades),109.6% (2 trades),122.1% (2 trades),144.9% (2 trades),84.6% (4 trades),93.6% (4 trades),102.7% (4 trades),124.3% (4 trades),115.8% (2 trades),128.3% (2 trades),144.9% (2 trades),97.1% (4 trades),106.1% (4 trades),115.2% (4 trades),124.3% (4 trades),115.8% (2 trades),128.3% (2 trades),144.9% (2 trades),58.7% (1 trades),58.7% (1 trades),122.1% (2 trades),122.1% (2 trades),128.3% (2 trades),128.3% (2 trades),58.7% (1 trades),58.7% (1 trades),109.6% (2 trades),109.6% (2 trades),115.8% (2 trades),115.8% (2 trades),78.6% (3 trades),93.5% (3 trades),80.5% (3 trades),80.5% (3 trades),99.3% (3 trades),99.3% (3 trades),78.6% (3 trades),93.5% (3 trades),80.5% (3 trades),80.5% (3 trades),99.3% (3 trades),99.3% (3 trades),70.2% (3 trades),84.5% (3 trades),65.1% (3 trades),65.1% (3 trades),84.0% (3 trades),84.0% (3 trades),58.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765230300,UP,4469,112.2% (5 trades),112.2% (5 trades),112.2% (5 trades),104.8% (3 trades),163.2% (2 trades),163.2% (2 trades),163.2% (2 trades),87.4% (2 trades),87.4% (2 trades),101.3% (2 trades),104.0% (2 trades),177.8% (1 trades),177.8% (1 trades),177.8% (1 trades),83.6% (3 trades),83.6% (3 trades),83.6% (3 trades),84.3% (2 trades),84.3% (2 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),81.8% (1 trades),105.5% (3 trades),105.5% (3 trades),105.5% (3 trades),116.6% (3 trades),106.6% (2 trades),-14.3% (2 trades),104.1% (1 trades),104.1% (1 trades),104.1% (1 trades),104.1% (1 trades),104.1% (1 trades),104.1% (1 trades),104.1% (1 trades),104.1% (1 trades),163.2% (2 trades),177.8% (1 trades),81.8% (1 trades),81.8% (1 trades),-14.3% (2 trades),104.1% (1 trades),163.2% (2 trades),177.8% (1 trades),84.3% (2 trades),81.8% (1 trades),106.6% (2 trades),104.1% (1 trades),163.2% (2 trades),177.8% (1 trades),84.3% (2 trades),81.8% (1 trades),116.6% (3 trades),104.1% (1 trades),163.2% (2 trades),177.8% (1 trades),84.3% (2 trades),81.8% (1 trades),116.6% (3 trades),104.1% (1 trades),178.9% (4 trades),177.8% (1 trades),83.6% (3 trades),81.8% (1 trades),105.5% (3 trades),104.1% (1 trades),177.8% (1 trades),81.8% (1 trades),104.1% (1 trades)
btc-updown-15m-1765231200,DOWN,4441,-73.6% (3 trades),-73.6% (3 trades),-73.6% (3 trades),-45.0% (3 trades),-46.2% (2 trades),-25.0% (2 trades),92.3% (1 trades),92.3% (1 trades),92.3% (1 trades),92.3% (1 trades),92.3% (1 trades),92.3% (1 trades),92.3% (1 trades),92.3% (1 trades),-86.5% (2 trades),-86.5% (2 trades),-86.5% (2 trades),-69.2% (2 trades),-46.2% (2 trades),-25.0% (2 trades),92.3% (1 trades),92.3% (1 trades),92.3% (1 trades),92.3% (1 trades),92.3% (1 trades),92.3% (1 trades),92.3% (1 trades),92.3% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-25.0% (2 trades),92.3% (1 trades),-25.0% (2 trades),92.3% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-46.2% (2 trades),92.3% (1 trades),-46.2% (2 trades),92.3% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-51.9% (2 trades),92.3% (1 trades),-51.9% (2 trades),92.3% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-51.9% (2 trades),92.3% (1 trades),-51.9% (2 trades),92.3% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-51.9% (2 trades),92.3% (1 trades),-51.9% (2 trades),92.3% (1 trades),-100.0% (1 trades),-100.0% (1 trades),92.3% (1 trades),92.3% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765232100,DOWN,4446,56.7% (5 trades),44.5% (3 trades),57.5% (2 trades),68.2% (2 trades),100.0% (1 trades),100.0% (1 trades),100.0% (1 trades),81.8% (4 trades),69.0% (2 trades),69.0% (2 trades),83.9% (2 trades),112.8% (1 trades),112.8% (1 trades),112.8% (1 trades),58.0% (3 trades),58.0% (3 trades),63.2% (2 trades),67.8% (2 trades),103.6% (2 trades),118.6% (1 trades),118.6% (1 trades),79.5% (2 trades),79.5% (2 trades),79.5% (2 trades),79.5% (2 trades),132.6% (1 trades),132.6% (1 trades),132.6% (1 trades),no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,100.0% (1 trades),112.8% (1 trades),118.6% (1 trades),132.6% (1 trades),no trade,no trade,100.0% (1 trades),112.8% (1 trades),103.6% (2 trades),132.6% (1 trades),no trade,no trade,68.2% (2 trades),83.9% (2 trades),67.8% (2 trades),79.5% (2 trades),no trade,no trade,68.2% (2 trades),83.9% (2 trades),67.8% (2 trades),79.5% (2 trades),no trade,no trade,57.5% (2 trades),69.0% (2 trades),63.2% (2 trades),79.5% (2 trades),no trade,no trade,112.8% (1 trades),132.6% (1 trades),no trade
btc-updown-15m-1765233000,DOWN,4474,-67.6% (3 trades),-67.6% (3 trades),-67.6% (3 trades),-53.4% (3 trades),5.1% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-67.6% (3 trades),-67.6% (3 trades),-67.6% (3 trades),-53.4% (3 trades),5.1% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),0.0% (2 trades),22.0% (2 trades),29.7% (2 trades),51.6% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),0.0% (2 trades),22.0% (2 trades),29.7% (2 trades),51.6% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),51.6% (2 trades),51.6% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),51.6% (2 trades),51.6% (2 trades),5.1% (3 trades),-100.0% (1 trades),5.1% (3 trades),-100.0% (1 trades),29.7% (2 trades),29.7% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765233900,UP,4448,55.8% (3 trades),62.7% (3 trades),72.1% (3 trades),99.9% (3 trades),153.5% (3 trades),229.6% (3 trades),100.0% (1 trades),44.9% (2 trades),51.8% (2 trades),57.4% (2 trades),74.5% (2 trades),130.3% (2 trades),188.6% (2 trades),131.0% (1 trades),60.6% (3 trades),68.0% (3 trades),71.7% (3 trades),103.2% (3 trades),153.6% (3 trades),231.5% (3 trades),212.8% (2 trades),51.5% (2 trades),58.9% (2 trades),62.6% (2 trades),77.4% (2 trades),130.4% (2 trades),190.5% (2 trades),212.8% (2 trades),60.6% (3 trades),68.0% (3 trades),71.7% (3 trades),103.2% (3 trades),157.2% (3 trades),231.5% (3 trades),212.8% (2 trades),51.5% (2 trades),58.9% (2 trades),62.6% (2 trades),77.4% (2 trades),164.6% (2 trades),190.5% (2 trades),212.8% (2 trades),229.6% (3 trades),188.6% (2 trades),231.5% (3 trades),190.5% (2 trades),231.5% (3 trades),190.5% (2 trades),153.5% (3 trades),130.3% (2 trades),153.6% (3 trades),130.4% (2 trades),157.2% (3 trades),164.6% (2 trades),99.9% (3 trades),74.5% (2 trades),103.2% (3 trades),77.4% (2 trades),103.2% (3 trades),77.4% (2 trades),99.9% (3 trades),74.5% (2 trades),103.2% (3 trades),77.4% (2 trades),103.2% (3 trades),77.4% (2 trades),72.1% (3 trades),57.4% (2 trades),71.7% (3 trades),62.6% (2 trades),71.7% (3 trades),62.6% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765234800,DOWN,4476,102.1% (9 trades),136.2% (9 trades),142.9% (8 trades),200.6% (7 trades),302.6% (5 trades),258.3% (3 trades),312.5% (3 trades),146.1% (7 trades),180.2% (7 trades),178.5% (6 trades),214.0% (6 trades),304.7% (5 trades),273.8% (3 trades),312.5% (3 trades),129.8% (8 trades),139.8% (8 trades),178.9% (8 trades),157.1% (6 trades),246.7% (4 trades),334.8% (1 trades),334.8% (1 trades),106.5% (6 trades),116.5% (6 trades),172.3% (6 trades),141.4% (5 trades),246.7% (4 trades),334.8% (1 trades),334.8% (1 trades),120.6% (7 trades),131.7% (6 trades),140.8% (6 trades),126.8% (4 trades),154.5% (3 trades),163.6% (2 trades),354.5% (1 trades),91.9% (6 trades),103.0% (5 trades),128.8% (5 trades),126.8% (4 trades),154.5% (3 trades),163.6% (2 trades),354.5% (1 trades),258.3% (3 trades),273.8% (3 trades),334.8% (1 trades),334.8% (1 trades),81.8% (1 trades),81.8% (1 trades),175.5% (3 trades),195.4% (3 trades),52.2% (1 trades),52.2% (1 trades),104.5% (2 trades),104.5% (2 trades),132.6% (3 trades),145.4% (3 trades),49.0% (2 trades),49.0% (2 trades),50.0% (2 trades),50.0% (2 trades),132.6% (3 trades),145.4% (3 trades),49.0% (2 trades),49.0% (2 trades),131.8% (3 trades),131.8% (3 trades),168.4% (5 trades),191.3% (5 trades),160.8% (5 trades),178.7% (5 trades),92.9% (4 trades),92.9% (4 trades),-100.0% (1 trades),334.8% (1 trades),354.5% (1 trades)
